,ICD10,ICD10_formatted,PHECODE
3705,Y56.2,Y562,976.0
3706,T62.8,T628,988.0
3707,T32.6,T326,1000.0
3708,E72.5,E725,270.2
3709,A50.7,A507,90.0
3710,M33.0,M330,709.5
3711,E72.8,E728,270.2
3712,E28.8,E288,256.0
3713,Q87.2,Q872,759.0
3714,I79.0,I790,442.1
3715,P96.1,P961,656.0
3716,M79.4,M794,729.3
3717,R09.0,R090,1013.0
3718,H04.9,H049,375.0
3719,N88.4,N884,623.0
3720,S43.6,S436,842.0
3721,C70.0,C700,191.1
3722,T54.0,T540,983.0
3723,N37,N37,592.3
3724,S19.8,S198,1009.0
3725,K00.7,K007,520.0
3726,Z73.3,Z733,389.0
3727,Z83,Z83,1100.0
3728,Q32.4,Q324,748.0
3729,M15.1,M151,740.2
3730,B77,B77,134.1
3731,C96.1,C961,202.0
3732,L50.9,L509,947.0
3733,N97.4,N974,626.8
3734,O21,O21,643.0
3735,M46.1,M461,715.1
3736,H91.9,H919,389.0
3737,D48.1,D481,199.0
3738,G70.2,G702,358.0
3739,R40.0,R400,291.8
3740,B87.3,B873,132.0
3741,S25.9,S259,1007.0
3742,I73.8,I738,443.8
3743,F12.9,F129,316.0
3744,Z99.2,Z992,585.31
3745,T39.1,T391,965.0
3746,L90.5,L905,701.2
3747,S91.0,S910,1009.0
3748,T31.0,T310,1000.0
3749,O04.9,O049,634.0
3750,M54.2,M542,761.0
3751,O89.1,O891,668.0
3752,G41.1,G411,345.1
3753,S91.0,S910,871.0
3754,K11.6,K116,528.41
3755,P58.2,P582,656.8
3756,C10.9,C109,149.1
3757,S84.2,S842,907.0
3758,M72.8,M728,772.0
3759,E42,E42,260.21
3760,N33.0,N330,10.0
3761,M72.9,M729,728.7
3762,B35.4,B354,110.13
3763,Q62.3,Q623,751.3
3764,H71,H71,385.3
3765,B58.0,B580,131.0
3766,H75.8,H758,381.3
3767,N82.5,N825,617.0
3768,J69.1,J691,500.0
3769,T90.9,T909,819.0
3770,N85.2,N852,623.0
3771,Q54.2,Q542,751.12
3772,T90.9,T909,1009.0
3773,C71.9,C719,191.11
3774,H05.8,H058,376.0
3775,D61,D61,284.0
3776,B95.1,B951,41.2
3777,D10.2,D102,210.0
3778,M93.1,M931,732.0
3779,G03.1,G031,320.0
3780,S70.8,S708,915.0
3781,F29,F29,295.3
3782,J39.1,J391,479.0
3783,A95,A95,79.0
3784,S55.7,S557,1007.0
3785,A50.5,A505,90.0
3786,H16.3,H163,370.0
3787,K65.0,K650,567.0
3788,R95-R99.9,R95-R999,1019.0
3789,F33.3,F333,296.22
3790,M91.2,M912,732.1
3791,B90.0,B900,10.0
3792,J84.1,J841,502.0
3793,J34.0,J340,479.0
3794,F70.8,F708,315.3
3795,H50.8,H508,378.0
3796,N25,N25,588.0
3797,A74.8,A748,79.0
3798,P39.8,P398,657.0
3799,N94.9,N949,619.0
3800,Q18.4,Q184,749.0
3801,M41.8,M418,737.3
3802,A03.1,A031,8.5
3803,Q25.5,Q255,747.13
3804,P58.1,P581,656.8
3805,K75.8,K758,70.9
3806,S44.5,S445,907.0
3807,D56.9,D569,282.8
3808,Q10.7,Q107,749.0
3809,J02.0,J020,465.0
3810,T51.3,T513,981.0
3811,B25.2,B252,79.0
3812,O99.5,O995,646.0
3813,G12.8,G128,334.2
3814,O34.5,O345,619.2
3815,B08.0,B080,79.0
3816,M00.9,M009,711.1
3817,N30.9,N309,592.1
3818,P35,P35,657.0
3819,N02.9,N029,593.0
3820,B25.2,B252,577.1
3821,T91.5,T915,1008.0
3822,F45,F45,303.4
3823,L25.3,L253,939.0
3824,F10.0,F100,317.0
3825,R56.8,R568,345.3
3826,C46.3,C463,230.0
3827,G93.2,G932,348.2
3828,P58,P58,656.8
3829,V49.0,V490,1011.0
3830,O91.0,O910,647.0
3831,M17.2,M172,836.0
3832,A37,A37,41.0
3833,E83.9,E839,275.0
3834,T10,T10,803.0
3835,B56.0,B560,133.0
3836,Q06.3,Q063,752.2
3837,D46.0,D460,200.0
3838,Q69.1,Q691,755.3
3839,Y65.1,Y651,1011.0
3840,E56.8,E568,261.0
3841,I36.2,I362,395.3
3842,L92.9,L929,701.5
3843,O12.1,O121,646.0
3844,T69.9,T699,1014.0
3845,K51.8,K518,555.2
3846,I77.0,I770,447.0
3847,O29.3,O293,646.0
3848,M80.3,M803,743.13
3849,Q93.4,Q934,758.1
3850,N91.5,N915,626.11
3851,M67.9,M679,729.0
3852,K61.4,K614,565.0
3853,M67.9,M679,781.0
3854,R45.7,R457,300.8
3855,R40.2,R402,348.7
3856,Q03.8,Q038,752.2
3857,M67.9,M679,727.0
3858,T46.4,T464,972.0
3859,H42.0,H420,365.0
3860,L60.8,L608,703.0
3861,S09.1,S091,1009.0
3862,T67.1,T671,1014.0
3863,M67.9,M679,274.21
3864,F44.3,F443,295.0
3865,H30.0,H300,371.0
3866,S77.1,S771,1006.0
3867,O34.3,O343,636.8
3868,H34.8,H348,362.4
3869,H80.2,H802,383.0
3870,R90.0,R900,293.1
3871,T83.9,T839,857.0
3872,N08.3,N083,580.2
3873,T48.4,T484,975.0
3874,P23.1,P231,656.0
3875,E01.0,E010,240.0
3876,O90.8,O908,674.0
3877,A30.5,A305,31.1
3878,G44.8,G448,339.0
3879,N94.2,N942,625.1
3880,Q69.2,Q692,755.3
3881,K28.0,K280,531.1
3882,J46,J46,495.2
3883,L51.8,L518,695.1
3884,K71.8,K718,70.9
3885,T29-T32.9,T29-T329,1000.0
3886,C31.0,C310,149.9
3887,O34.4,O344,619.3
3888,F38.8,F388,296.0
3889,E50.3,E503,261.1
3890,C12,C12,149.3
3891,D86.1,D861,697.0
3892,D44.7,D447,199.0
3893,L43.9,L439,695.7
3894,S25.4,S254,1007.0
3895,Q55.4,Q554,751.1
3896,S86.8,S868,1009.0
3897,T27.6,T276,1000.0
3898,J01.9,J019,464.0
3899,K22.9,K229,530.0
3900,K71.9,K719,70.9
3901,M85.4,M854,733.2
3902,M33,M33,709.5
3903,A95.0,A950,79.0
3904,L50,L50,947.0
3905,B39.4,B394,117.1
3906,F31.3,F313,296.1
3907,D67,D67,286.1
3908,T81.1,T811,958.1
3909,R45.5,R455,300.0
3910,T78.0,T780,930.0
3911,S02.1,S021,819.0
3912,Y41.4,Y414,961.0
3913,T43.8,T438,969.0
3914,G13.8,G138,331.0
3915,A54.5,A545,90.2
3916,P72,P72,656.3
3917,F31.1,F311,296.1
3918,O32.4,O324,652.0
3919,B38.7,B387,117.2
3920,F19.5,F195,290.3
3921,I05-I09.9,I05-I099,394.2
3922,D68,D68,286.6
3923,Q74.8,Q748,755.0
3924,O22.0,O220,671.0
3925,T82,T82,854.0
3926,J63.4,J634,500.2
3927,R89.9,R899,1010.0
3928,B30.0,B300,369.2
3929,L65.8,L658,704.1
3930,D68,D68,286.7
3931,M25.5,M255,745.0
3932,G46.3,G463,433.0
3933,D75.2,D752,200.0
3934,S61.1,S611,871.0
3935,N64.3,N643,612.1
3936,K25.7,K257,531.2
3937,D83.1,D831,279.1
3938,N83.3,N833,624.2
3939,X30,X30,1014.0
3940,D76.2,D762,288.0
3941,N63,N63,611.3
3942,T51-T65.9,T51-T659,981.0
3943,Q90.9,Q909,758.1
3944,Z65,Z65,317.1
3945,T51-T65.9,T51-T659,989.0
3946,Y52.6,Y526,972.2
3947,M54.3,M543,764.0
3948,G60.0,G600,356.0
3949,S06.1,S061,819.0
3950,O69.8,O698,663.0
3951,T82.0,T820,854.0
3952,Q39.0,Q390,750.11
3953,I40.8,I408,420.1
3954,N94.3,N943,626.4
3955,D15.1,D151,212.0
3956,B91,B91,324.0
3957,M24.2,M242,728.2
3958,C78.0,C780,198.2
3959,F41.8,F418,300.1
3960,Q23.2,Q232,747.12
3961,I34.9,I349,395.1
3962,L60.1,L601,703.0
3963,E79,E79,277.2
3964,R41.0,R410,292.4
3965,E14.5,E145,250.0
3966,C16.4,C164,151.0
3967,E14.5,E145,443.7
3968,P11.2,P112,665.0
3969,H02.7,H027,374.0
3970,M95.0,M950,738.0
3971,G41,G41,345.1
3972,H11,H11,372.0
3973,H11.8,H118,372.0
3974,H02,H02,374.0
3975,L59.9,L599,938.0
3976,N82.1,N821,617.0
3977,S90.1,S901,916.0
3978,L85.8,L858,701.0
3979,K05.0,K050,523.1
3980,M60.0,M600,712.0
3981,B18,B18,70.0
3982,P15.4,P154,665.0
3983,O69.1,O691,663.0
3984,I06.8,I068,394.0
3985,T78,T78,1015.0
3986,T49.5,T495,976.0
3987,D14.4,D144,212.0
3988,I08.0,I080,394.0
3989,A87.8,A878,320.0
3990,D38.1,D381,199.0
3991,O81.3,O813,669.0
3992,S63.1,S631,830.0
3993,K00.9,K009,520.0
3994,A26.8,A268,41.0
3995,I23.3,I233,411.2
3996,C15,C15,150.0
3997,J44.9,J449,496.0
3998,R57.9,R579,797.0
3999,L87.8,L878,701.0
4000,H57.1,H571,379.9
4001,B96.2,B962,41.4
4002,D21.6,D216,215.0
4003,T40.7,T407,969.0
4004,T63.4,T634,913.0
4005,K25.9,K259,531.2
4006,Q21.8,Q218,747.11
4007,Q25.0,Q250,747.13
4008,D31.5,D315,224.0
4009,R62.9,R629,264.9
4010,M65.8,M658,727.1
4011,N42.9,N429,602.0
4012,S45,S45,1007.0
4013,C46.0,C460,230.0
4014,C74.0,C740,194.0
4015,K75.9,K759,70.9
4016,N00.8,N008,580.0
4017,P10,P10,665.0
4018,S76.4,S764,1009.0
4019,K59.8,K598,564.0
4020,Q70.2,Q702,755.3
4021,L99.0,L990,270.33
