,ICD10,ICD10_formatted,PHECODE
30612,,L601,689.0
30613,,L602,689.0
30614,,L603,689.0
30615,,L604,689.0
30616,,L605,689.0
30617,,L608,689.0
30618,,L609,689.0
30619,,L62,689.0
30620,,L620,689.0
30621,,L628,689.0
30622,,L63,689.0
30623,,L630,689.0
30624,,L631,689.0
30625,,L632,689.0
30626,,L638,689.0
30627,,L639,689.0
30628,,L64,689.0
30629,,L640,689.0
30630,,L648,689.0
30631,,L649,689.0
30632,,L65,689.0
30633,,L650,689.0
30634,,L651,689.0
30635,,L652,689.0
30636,,L658,689.0
30637,,L659,689.0
30638,,L66,689.0
30639,,L660,689.0
30640,,L661,689.0
30641,,L662,689.0
30642,,L663,689.0
30643,,L664,689.0
30644,,L668,689.0
30645,,L669,689.0
30646,,L67,689.0
30647,,L670,689.0
30648,,L671,689.0
30649,,L678,689.0
30650,,L679,689.0
30651,,L68,689.0
30652,,L680,689.0
30653,,L681,689.0
30654,,L682,689.0
30655,,L683,689.0
30656,,L688,689.0
30657,,L689,689.0
30658,,L70,689.0
30659,,L700,689.0
30660,,L701,689.0
30661,,L702,689.0
30662,,L703,689.0
30663,,L704,689.0
30664,,L705,689.0
30665,,L708,689.0
30666,,L709,689.0
30667,,L71,689.0
30668,,L710,689.0
30669,,L711,689.0
30670,,L718,689.0
30671,,L719,689.0
30672,,L72,689.0
30673,,L720,689.0
30674,,L721,689.0
30675,,L722,689.0
30676,,L728,689.0
30677,,L729,689.0
30678,,L73,689.0
30679,,L730,689.0
30680,,L731,689.0
30681,,L732,689.0
30682,,L738,689.0
30683,,L739,689.0
30684,,L74,689.0
30685,,L740,689.0
30686,,L741,689.0
30687,,L742,689.0
30688,,L743,689.0
30689,,L744,689.0
30690,,L748,689.0
30691,,L749,689.0
30692,,L75,689.0
30693,,L750,689.0
30694,,L751,689.0
30695,,L752,689.0
30696,,L758,689.0
30697,,L759,689.0
30698,,L80,689.0
30699,,L81,689.0
30700,,L810,689.0
30701,,L811,689.0
30702,,L812,689.0
30703,,L813,689.0
30704,,L814,689.0
30705,,L815,689.0
30706,,L816,689.0
30707,,L817,689.0
30708,,L818,689.0
30709,,L819,689.0
30710,,L82,689.0
30711,,L83,689.0
30712,,L84,689.0
30713,,L85,689.0
30714,,L850,689.0
30715,,L851,689.0
30716,,L852,689.0
30717,,L853,689.0
30718,,L858,689.0
30719,,L859,689.0
30720,,L86,689.0
30721,,L87,689.0
30722,,L870,689.0
30723,,L871,689.0
30724,,L872,689.0
30725,,L878,689.0
30726,,L879,689.0
30727,,L88,689.0
30728,,L89,689.0
30729,,L890,689.0
30730,,L891,689.0
30731,,L892,689.0
30732,,L893,689.0
30733,,L899,689.0
30734,,L90,689.0
30735,,L900,689.0
30736,,L901,689.0
30737,,L902,689.0
30738,,L903,689.0
30739,,L904,689.0
30740,,L905,689.0
30741,,L906,689.0
30742,,L908,689.0
30743,,L909,689.0
30744,,L91,689.0
30745,,L910,689.0
30746,,L918,689.0
30747,,L919,689.0
30748,,L92,689.0
30749,,L920,689.0
30750,,L921,689.0
30751,,L922,689.0
30752,,L923,689.0
30753,,L928,689.0
30754,,L929,689.0
30755,,L93,689.0
30756,,L930,689.0
30757,,L931,689.0
30758,,L932,689.0
30759,,L94,689.0
30760,,L940,689.0
30761,,L941,689.0
30762,,L942,689.0
30763,,L943,689.0
30764,,L944,689.0
30765,,L945,689.0
30766,,L946,689.0
30767,,L948,689.0
30768,,L949,689.0
30769,,L95,689.0
30770,,L950,689.0
30771,,L951,689.0
30772,,L958,689.0
30773,,L959,689.0
30774,,L97,689.0
30775,,L98,689.0
30776,,L980,689.0
30777,,L981,689.0
30778,,L982,689.0
30779,,L983,689.0
30780,,L984,689.0
30781,,L985,689.0
30782,,L986,689.0
30783,,L987,689.0
30784,,L988,689.0
30785,,L989,689.0
30786,,L99,689.0
30787,,L990,689.0
30788,,L998,689.0
30789,,Y83,851.0
30790,,Y830,851.0
30791,,Y831,851.0
30792,,Y832,851.0
30793,,Y833,851.0
30794,,Y834,851.0
30795,,Y835,851.0
30796,,Y836,851.0
30797,,Y838,851.0
30798,,Y839,851.0
30799,,Y84,851.0
30800,,Y840,851.0
30801,,Y841,851.0
30802,,Y842,851.0
30803,,Y843,851.0
30804,,Y844,851.0
30805,,Y845,851.0
30806,,Y846,851.0
30807,,Y847,851.0
30808,,Y848,851.0
30809,,Y849,851.0
30810,,A90,79.0
30811,,A91,79.0
30812,,A92,79.0
30813,,A920,79.0
30814,,A921,79.0
30815,,A922,79.0
30816,,A923,79.0
30817,,A924,79.0
30818,,A928,79.0
30819,,A929,79.0
30820,,A93,79.0
30821,,A930,79.0
30822,,A931,79.0
30823,,A932,79.0
30824,,A938,79.0
30825,,A94,79.0
30826,,A95,79.0
30827,,A950,79.0
30828,,A951,79.0
30829,,A959,79.0
30830,,A96,79.0
30831,,A960,79.0
30832,,A961,79.0
30833,,A962,79.0
30834,,A968,79.0
30835,,A969,79.0
30836,,A97,79.0
30837,,A970,79.0
30838,,A971,79.0
30839,,A972,79.0
30840,,A979,79.0
30841,,A98,79.0
30842,,A980,79.0
30843,,A981,79.0
30844,,A982,79.0
30845,,A983,79.0
30846,,A984,79.0
30847,,A985,79.0
30848,,A988,79.0
30849,,A99,79.0
30850,,A75,136.0
30851,,A750,136.0
30852,,A751,136.0
30853,,A752,136.0
30854,,A753,136.0
30855,,A759,136.0
30856,,A77,136.0
30857,,A770,136.0
30858,,A771,136.0
30859,,A772,136.0
30860,,A773,136.0
30861,,A778,136.0
30862,,A779,136.0
30863,,A78,136.0
30864,,A79,136.0
30865,,A790,136.0
30866,,A791,136.0
30867,,A798,136.0
30868,,A799,136.0
30869,,C00,195.1
30870,,C000,195.1
30871,,C001,195.1
30872,,C002,195.1
30873,,C003,195.1
30874,,C004,195.1
30875,,C005,195.1
30876,,C006,195.1
30877,,C008,195.1
30878,,C009,195.1
30879,,C01,195.1
30880,,C02,195.1
30881,,C020,195.1
30882,,C021,195.1
30883,,C022,195.1
30884,,C023,195.1
30885,,C024,195.1
30886,,C028,195.1
30887,,C029,195.1
30888,,C03,195.1
30889,,C030,195.1
30890,,C031,195.1
30891,,C039,195.1
30892,,C04,195.1
30893,,C040,195.1
30894,,C041,195.1
30895,,C048,195.1
30896,,C049,195.1
30897,,C05,195.1
30898,,C050,195.1
30899,,C051,195.1
30900,,C052,195.1
30901,,C058,195.1
30902,,C059,195.1
30903,,C06,195.1
30904,,C060,195.1
30905,,C061,195.1
30906,,C062,195.1
30907,,C068,195.1
30908,,C069,195.1
30909,,C07,195.1
30910,,C08,195.1
30911,,C080,195.1
30912,,C081,195.1
30913,,C088,195.1
30914,,C089,195.1
30915,,C09,195.1
30916,,C090,195.1
30917,,C091,195.1
30918,,C098,195.1
30919,,C099,195.1
30920,,C10,195.1
30921,,C100,195.1
30922,,C101,195.1
30923,,C102,195.1
30924,,C103,195.1
30925,,C104,195.1
30926,,C108,195.1
30927,,C109,195.1
30928,,C11,195.1
30929,,C110,195.1
30930,,C111,195.1
30931,,C112,195.1
30932,,C113,195.1
30933,,C118,195.1
30934,,C119,195.1
30935,,C12,195.1
30936,,C13,195.1
30937,,C130,195.1
30938,,C131,195.1
30939,,C132,195.1
30940,,C138,195.1
30941,,C139,195.1
30942,,C14,195.1
30943,,C140,195.1
30944,,C142,195.1
30945,,C148,195.1
30946,,C15,195.1
30947,,C150,195.1
30948,,C151,195.1
30949,,C152,195.1
30950,,C153,195.1
30951,,C154,195.1
30952,,C155,195.1
30953,,C158,195.1
30954,,C159,195.1
30955,,C16,195.1
30956,,C160,195.1
30957,,C161,195.1
30958,,C162,195.1
30959,,C163,195.1
30960,,C164,195.1
30961,,C165,195.1
30962,,C166,195.1
30963,,C168,195.1
30964,,C169,195.1
30965,,C17,195.1
30966,,C170,195.1
30967,,C171,195.1
30968,,C172,195.1
30969,,C173,195.1
30970,,C178,195.1
30971,,C179,195.1
30972,,C18,195.1
30973,,C180,195.1
30974,,C181,195.1
30975,,C182,195.1
30976,,C183,195.1
30977,,C184,195.1
30978,,C185,195.1
30979,,C186,195.1
30980,,C187,195.1
30981,,C188,195.1
30982,,C189,195.1
30983,,C19,195.1
30984,,C20,195.1
30985,,C21,195.1
30986,,C210,195.1
30987,,C211,195.1
30988,,C212,195.1
30989,,C218,195.1
30990,,C22,195.1
30991,,C220,195.1
30992,,C221,195.1
30993,,C222,195.1
30994,,C223,195.1
30995,,C224,195.1
30996,,C227,195.1
30997,,C229,195.1
30998,,C23,195.1
30999,,C24,195.1
31000,,C240,195.1
31001,,C241,195.1
31002,,C248,195.1
31003,,C249,195.1
31004,,C25,195.1
31005,,C250,195.1
31006,,C251,195.1
31007,,C252,195.1
31008,,C253,195.1
31009,,C254,195.1
31010,,C257,195.1
31011,,C258,195.1
31012,,C259,195.1
31013,,C26,195.1
31014,,C260,195.1
31015,,C261,195.1
31016,,C268,195.1
31017,,C269,195.1
31018,,C30,195.1
31019,,C300,195.1
31020,,C301,195.1
31021,,C31,195.1
31022,,C310,195.1
31023,,C311,195.1
31024,,C312,195.1
31025,,C313,195.1
31026,,C318,195.1
31027,,C319,195.1
31028,,C32,195.1
31029,,C320,195.1
31030,,C321,195.1
31031,,C322,195.1
31032,,C323,195.1
31033,,C328,195.1
31034,,C329,195.1
31035,,C33,195.1
31036,,C34,195.1
31037,,C340,195.1
31038,,C341,195.1
31039,,C342,195.1
31040,,C343,195.1
31041,,C348,195.1
31042,,C349,195.1
31043,,C37,195.1
31044,,C38,195.1
31045,,C380,195.1
31046,,C381,195.1
31047,,C382,195.1
31048,,C383,195.1
31049,,C384,195.1
31050,,C388,195.1
31051,,C39,195.1
31052,,C390,195.1
31053,,C398,195.1
31054,,C399,195.1
31055,,C40,195.1
31056,,C400,195.1
31057,,C401,195.1
31058,,C402,195.1
31059,,C403,195.1
31060,,C408,195.1
31061,,C409,195.1
31062,,C41,195.1
31063,,C410,195.1
31064,,C411,195.1
31065,,C412,195.1
31066,,C413,195.1
31067,,C414,195.1
31068,,C418,195.1
31069,,C419,195.1
31070,,C42,195.1
31071,,C420,195.1
31072,,C421,195.1
31073,,C422,195.1
31074,,C423,195.1
31075,,C424,195.1
31076,,C43,195.1
31077,,C430,195.1
31078,,C431,195.1
31079,,C432,195.1
31080,,C433,195.1
31081,,C434,195.1
31082,,C435,195.1
31083,,C436,195.1
31084,,C437,195.1
31085,,C438,195.1
31086,,C439,195.1
31087,,C44,195.1
31088,,C440,195.1
31089,,C441,195.1
31090,,C442,195.1
31091,,C443,195.1
31092,,C444,195.1
31093,,C445,195.1
31094,,C446,195.1
31095,,C447,195.1
31096,,C448,195.1
31097,,C449,195.1
31098,,C45,195.1
31099,,C450,195.1
31100,,C451,195.1
31101,,C452,195.1
31102,,C457,195.1
31103,,C459,195.1
31104,,C46,195.1
31105,,C460,195.1
31106,,C461,195.1
31107,,C462,195.1
31108,,C463,195.1
31109,,C467,195.1
31110,,C468,195.1
31111,,C469,195.1
31112,,C47,195.1
31113,,C470,195.1
31114,,C471,195.1
31115,,C472,195.1
31116,,C473,195.1
31117,,C474,195.1
31118,,C475,195.1
31119,,C476,195.1
31120,,C478,195.1
31121,,C479,195.1
31122,,C48,195.1
31123,,C480,195.1
31124,,C481,195.1
31125,,C482,195.1
31126,,C488,195.1
31127,,C49,195.1
31128,,C490,195.1
31129,,C491,195.1
31130,,C492,195.1
31131,,C493,195.1
31132,,C494,195.1
31133,,C495,195.1
31134,,C496,195.1
31135,,C498,195.1
31136,,C499,195.1
31137,,C50,195.1
31138,,C500,195.1
31139,,C501,195.1
31140,,C502,195.1
31141,,C503,195.1
31142,,C504,195.1
31143,,C505,195.1
31144,,C506,195.1
31145,,C508,195.1
31146,,C509,195.1
31147,,C51,195.1
31148,,C510,195.1
31149,,C511,195.1
31150,,C512,195.1
31151,,C518,195.1
31152,,C519,195.1
31153,,C52,195.1
31154,,C53,195.1
31155,,C530,195.1
31156,,C531,195.1
31157,,C538,195.1
31158,,C539,195.1
31159,,C54,195.1
31160,,C540,195.1
31161,,C541,195.1
31162,,C542,195.1
31163,,C543,195.1
31164,,C548,195.1
31165,,C549,195.1
31166,,C55,195.1
31167,,C56,195.1
31168,,C57,195.1
31169,,C570,195.1
31170,,C571,195.1
31171,,C572,195.1
31172,,C573,195.1
31173,,C574,195.1
31174,,C577,195.1
31175,,C578,195.1
31176,,C579,195.1
31177,,C58,195.1
31178,,C60,195.1
31179,,C600,195.1
31180,,C601,195.1
31181,,C602,195.1
31182,,C608,195.1
31183,,C609,195.1
31184,,C61,195.1
31185,,C62,195.1
31186,,C620,195.1
31187,,C621,195.1
31188,,C629,195.1
31189,,C63,195.1
31190,,C630,195.1
31191,,C631,195.1
31192,,C632,195.1
31193,,C637,195.1
31194,,C638,195.1
31195,,C639,195.1
31196,,C64,195.1
31197,,C65,195.1
31198,,C66,195.1
31199,,C67,195.1
31200,,C670,195.1
31201,,C671,195.1
31202,,C672,195.1
31203,,C673,195.1
31204,,C674,195.1
31205,,C675,195.1
31206,,C676,195.1
31207,,C677,195.1
31208,,C678,195.1
31209,,C679,195.1
31210,,C68,195.1
31211,,C680,195.1
31212,,C681,195.1
31213,,C688,195.1
31214,,C689,195.1
31215,,C69,195.1
31216,,C690,195.1
31217,,C691,195.1
31218,,C692,195.1
31219,,C693,195.1
31220,,C694,195.1
31221,,C695,195.1
31222,,C696,195.1
31223,,C698,195.1
31224,,C699,195.1
31225,,C70,195.1
31226,,C700,195.1
31227,,C701,195.1
31228,,C709,195.1
31229,,C71,195.1
31230,,C710,195.1
31231,,C711,195.1
31232,,C712,195.1
31233,,C713,195.1
31234,,C714,195.1
31235,,C715,195.1
31236,,C716,195.1
31237,,C717,195.1
31238,,C718,195.1
31239,,C719,195.1
31240,,C72,195.1
31241,,C720,195.1
31242,,C721,195.1
31243,,C722,195.1
31244,,C723,195.1
31245,,C724,195.1
31246,,C725,195.1
31247,,C728,195.1
31248,,C729,195.1
31249,,C73,195.1
31250,,C74,195.1
31251,,C740,195.1
31252,,C741,195.1
31253,,C749,195.1
31254,,C75,195.1
31255,,C750,195.1
31256,,C751,195.1
31257,,C752,195.1
31258,,C753,195.1
31259,,C754,195.1
31260,,C755,195.1
31261,,C758,195.1
31262,,C759,195.1
31263,,C76,195.1
31264,,C760,195.1
31265,,C761,195.1
31266,,C762,195.1
31267,,C763,195.1
31268,,C764,195.1
31269,,C765,195.1
31270,,C767,195.1
31271,,C768,195.1
31272,,C77,195.1
31273,,C770,195.1
31274,,C771,195.1
31275,,C772,195.1
31276,,C773,195.1
31277,,C774,195.1
31278,,C775,195.1
31279,,C778,195.1
31280,,C779,195.1
31281,,C78,195.1
31282,,C780,195.1
31283,,C781,195.1
31284,,C782,195.1
31285,,C783,195.1
31286,,C784,195.1
31287,,C785,195.1
31288,,C786,195.1
31289,,C787,195.1
31290,,C788,195.1
31291,,C79,195.1
31292,,C790,195.1
31293,,C791,195.1
31294,,C792,195.1
31295,,C793,195.1
31296,,C794,195.1
31297,,C795,195.1
31298,,C796,195.1
31299,,C797,195.1
31300,,C798,195.1
31301,,C799,195.1
31302,,C80,195.1
31303,,C800,195.1
31304,,C809,195.1
31305,,C81,195.1
31306,,C810,195.1
31307,,C811,195.1
31308,,C812,195.1
31309,,C813,195.1
31310,,C814,195.1
31311,,C817,195.1
31312,,C819,195.1
31313,,C82,195.1
31314,,C820,195.1
31315,,C821,195.1
31316,,C822,195.1
31317,,C823,195.1
31318,,C824,195.1
31319,,C825,195.1
31320,,C826,195.1
31321,,C827,195.1
31322,,C829,195.1
31323,,C83,195.1
31324,,C830,195.1
31325,,C831,195.1
31326,,C832,195.1
31327,,C833,195.1
31328,,C834,195.1
31329,,C835,195.1
31330,,C836,195.1
31331,,C837,195.1
31332,,C838,195.1
31333,,C839,195.1
31334,,C84,195.1
31335,,C840,195.1
31336,,C841,195.1
31337,,C842,195.1
31338,,C843,195.1
31339,,C844,195.1
31340,,C845,195.1
31341,,C846,195.1
31342,,C847,195.1
31343,,C848,195.1
31344,,C849,195.1
31345,,C85,195.1
31346,,C850,195.1
31347,,C851,195.1
31348,,C852,195.1
31349,,C857,195.1
31350,,C859,195.1
31351,,C86,195.1
31352,,C860,195.1
31353,,C861,195.1
31354,,C862,195.1
31355,,C863,195.1
31356,,C864,195.1
31357,,C865,195.1
31358,,C866,195.1
31359,,C88,195.1
31360,,C880,195.1
31361,,C881,195.1
31362,,C882,195.1
31363,,C883,195.1
31364,,C884,195.1
31365,,C887,195.1
31366,,C889,195.1
31367,,C90,195.1
31368,,C900,195.1
31369,,C901,195.1
31370,,C902,195.1
31371,,C903,195.1
31372,,C91,195.1
31373,,C910,195.1
31374,,C911,195.1
31375,,C912,195.1
31376,,C913,195.1
31377,,C914,195.1
31378,,C915,195.1
31379,,C916,195.1
31380,,C917,195.1
31381,,C918,195.1
31382,,C919,195.1
31383,,C92,195.1
31384,,C920,195.1
31385,,C921,195.1
31386,,C922,195.1
31387,,C923,195.1
31388,,C924,195.1
31389,,C925,195.1
31390,,C926,195.1
31391,,C927,195.1
31392,,C928,195.1
31393,,C929,195.1
31394,,C93,195.1
31395,,C930,195.1
31396,,C931,195.1
31397,,C932,195.1
31398,,C933,195.1
31399,,C937,195.1
31400,,C939,195.1
31401,,C94,195.1
31402,,C940,195.1
31403,,C941,195.1
31404,,C942,195.1
31405,,C943,195.1
31406,,C944,195.1
31407,,C945,195.1
31408,,C946,195.1
31409,,C947,195.1
31410,,C95,195.1
31411,,C950,195.1
31412,,C951,195.1
31413,,C952,195.1
31414,,C957,195.1
31415,,C959,195.1
31416,,C96,195.1
31417,,C960,195.1
31418,,C961,195.1
31419,,C962,195.1
31420,,C963,195.1
31421,,C964,195.1
31422,,C965,195.1
31423,,C966,195.1
31424,,C967,195.1
31425,,C968,195.1
31426,,C969,195.1
31427,,C97,195.1
31428,,D00,195.1
31429,,D000,195.1
31430,,D001,195.1
31431,,D002,195.1
31432,,D01,195.1
31433,,D010,195.1
31434,,D011,195.1
31435,,D012,195.1
31436,,D013,195.1
31437,,D014,195.1
31438,,D015,195.1
31439,,D017,195.1
31440,,D019,195.1
31441,,D02,195.1
31442,,D020,195.1
31443,,D021,195.1
31444,,D022,195.1
31445,,D023,195.1
31446,,D024,195.1
31447,,D03,195.1
31448,,D030,195.1
31449,,D031,195.1
31450,,D032,195.1
31451,,D033,195.1
31452,,D034,195.1
31453,,D035,195.1
31454,,D036,195.1
31455,,D037,195.1
31456,,D038,195.1
31457,,D039,195.1
31458,,D04,195.1
31459,,D040,195.1
31460,,D041,195.1
31461,,D042,195.1
31462,,D043,195.1
31463,,D044,195.1
31464,,D045,195.1
31465,,D046,195.1
31466,,D047,195.1
31467,,D048,195.1
31468,,D049,195.1
31469,,D05,195.1
31470,,D050,195.1
31471,,D051,195.1
31472,,D057,195.1
31473,,D059,195.1
31474,,D06,195.1
31475,,D060,195.1
31476,,D061,195.1
31477,,D067,195.1
31478,,D069,195.1
31479,,D07,195.1
31480,,D070,195.1
31481,,D071,195.1
31482,,D072,195.1
31483,,D073,195.1
31484,,D074,195.1
31485,,D075,195.1
31486,,D076,195.1
31487,,D09,195.1
31488,,D090,195.1
31489,,D091,195.1
31490,,D092,195.1
31491,,D093,195.1
31492,,D097,195.1
31493,,D099,195.1
31494,,D10,195.1
31495,,D100,195.1
31496,,D101,195.1
31497,,D102,195.1
31498,,D103,195.1
31499,,D104,195.1
31500,,D105,195.1
31501,,D106,195.1
31502,,D107,195.1
31503,,D109,195.1
31504,,D11,195.1
31505,,D110,195.1
31506,,D117,195.1
31507,,D119,195.1
31508,,D12,195.1
31509,,D120,195.1
31510,,D121,195.1
31511,,D122,195.1
31512,,D123,195.1
31513,,D124,195.1
31514,,D125,195.1
31515,,D126,195.1
31516,,D127,195.1
31517,,D128,195.1
31518,,D129,195.1
31519,,D13,195.1
31520,,D130,195.1
31521,,D131,195.1
31522,,D132,195.1
31523,,D133,195.1
31524,,D134,195.1
31525,,D135,195.1
31526,,D136,195.1
31527,,D137,195.1
31528,,D139,195.1
31529,,D14,195.1
31530,,D140,195.1
31531,,D141,195.1
31532,,D142,195.1
31533,,D143,195.1
31534,,D144,195.1
31535,,D15,195.1
31536,,D150,195.1
31537,,D151,195.1
31538,,D152,195.1
31539,,D157,195.1
31540,,D159,195.1
31541,,D16,195.1
31542,,D160,195.1
31543,,D161,195.1
31544,,D162,195.1
31545,,D163,195.1
31546,,D164,195.1
31547,,D165,195.1
31548,,D166,195.1
31549,,D167,195.1
31550,,D168,195.1
31551,,D169,195.1
31552,,D17,195.1
31553,,D170,195.1
31554,,D171,195.1
31555,,D172,195.1
31556,,D173,195.1
31557,,D174,195.1
31558,,D175,195.1
31559,,D176,195.1
31560,,D177,195.1
31561,,D179,195.1
31562,,D18,195.1
31563,,D180,195.1
31564,,D181,195.1
31565,,D19,195.1
31566,,D190,195.1
31567,,D191,195.1
31568,,D197,195.1
31569,,D199,195.1
31570,,D20,195.1
31571,,D200,195.1
31572,,D201,195.1
31573,,D21,195.1
31574,,D210,195.1
31575,,D211,195.1
31576,,D212,195.1
31577,,D213,195.1
31578,,D214,195.1
31579,,D215,195.1
31580,,D216,195.1
31581,,D219,195.1
31582,,D22,195.1
31583,,D220,195.1
31584,,D221,195.1
31585,,D222,195.1
31586,,D223,195.1
31587,,D224,195.1
31588,,D225,195.1
31589,,D226,195.1
31590,,D227,195.1
31591,,D229,195.1
31592,,D23,195.1
31593,,D230,195.1
31594,,D231,195.1
31595,,D232,195.1
31596,,D233,195.1
31597,,D234,195.1
31598,,D235,195.1
31599,,D236,195.1
31600,,D237,195.1
31601,,D239,195.1
31602,,D24,195.1
31603,,D25,195.1
31604,,D250,195.1
31605,,D251,195.1
31606,,D252,195.1
31607,,D259,195.1
31608,,D26,195.1
31609,,D260,195.1
31610,,D261,195.1
31611,,D267,195.1
31612,,D269,195.1
31613,,D27,195.1
31614,,D28,195.1
31615,,D280,195.1
31616,,D281,195.1
31617,,D282,195.1
31618,,D287,195.1
31619,,D289,195.1
31620,,D29,195.1
31621,,D290,195.1
31622,,D291,195.1
31623,,D292,195.1
31624,,D293,195.1
31625,,D294,195.1
31626,,D297,195.1
31627,,D299,195.1
31628,,D30,195.1
31629,,D300,195.1
31630,,D301,195.1
31631,,D302,195.1
31632,,D303,195.1
31633,,D304,195.1
31634,,D307,195.1
31635,,D309,195.1
31636,,D31,195.1
31637,,D310,195.1
31638,,D311,195.1
31639,,D312,195.1
31640,,D313,195.1
31641,,D314,195.1
31642,,D315,195.1
31643,,D316,195.1
31644,,D319,195.1
31645,,D32,195.1
31646,,D320,195.1
31647,,D321,195.1
31648,,D329,195.1
31649,,D33,195.1
31650,,D330,195.1
31651,,D331,195.1
31652,,D332,195.1
31653,,D333,195.1
31654,,D334,195.1
31655,,D337,195.1
31656,,D339,195.1
31657,,D34,195.1
31658,,D35,195.1
31659,,D350,195.1
31660,,D351,195.1
31661,,D352,195.1
31662,,D353,195.1
31663,,D354,195.1
31664,,D355,195.1
31665,,D356,195.1
31666,,D357,195.1
31667,,D358,195.1
31668,,D359,195.1
31669,,D36,195.1
31670,,D360,195.1
31671,,D361,195.1
31672,,D367,195.1
31673,,D369,195.1
31674,,D37,195.1
31675,,D370,195.1
31676,,D371,195.1
31677,,D372,195.1
31678,,D373,195.1
31679,,D374,195.1
31680,,D375,195.1
31681,,D376,195.1
31682,,D377,195.1
31683,,D379,195.1
31684,,D38,195.1
31685,,D380,195.1
31686,,D381,195.1
31687,,D382,195.1
31688,,D383,195.1
31689,,D384,195.1
31690,,D385,195.1
31691,,D386,195.1
31692,,D39,195.1
31693,,D390,195.1
31694,,D391,195.1
31695,,D392,195.1
31696,,D397,195.1
31697,,D399,195.1
31698,,D40,195.1
31699,,D400,195.1
31700,,D401,195.1
31701,,D407,195.1
31702,,D409,195.1
31703,,D41,195.1
31704,,D410,195.1
31705,,D411,195.1
31706,,D412,195.1
31707,,D413,195.1
31708,,D414,195.1
31709,,D417,195.1
31710,,D419,195.1
31711,,D42,195.1
31712,,D420,195.1
31713,,D421,195.1
31714,,D429,195.1
31715,,D43,195.1
31716,,D430,195.1
31717,,D431,195.1
31718,,D432,195.1
31719,,D433,195.1
31720,,D434,195.1
31721,,D437,195.1
31722,,D439,195.1
31723,,D44,195.1
31724,,D440,195.1
31725,,D441,195.1
31726,,D442,195.1
31727,,D443,195.1
31728,,D444,195.1
31729,,D445,195.1
31730,,D446,195.1
31731,,D447,195.1
31732,,D448,195.1
31733,,D449,195.1
31734,,D45,195.1
31735,,D46,195.1
31736,,D460,195.1
31737,,D461,195.1
31738,,D462,195.1
31739,,D463,195.1
31740,,D464,195.1
31741,,D465,195.1
31742,,D466,195.1
31743,,D467,195.1
31744,,D469,195.1
31745,,D47,195.1
31746,,D470,195.1
31747,,D471,195.1
31748,,D472,195.1
31749,,D473,195.1
31750,,D474,195.1
31751,,D475,195.1
31752,,D477,195.1
31753,,D479,195.1
31754,,D48,195.1
31755,,D480,195.1
31756,,D481,195.1
31757,,D482,195.1
31758,,D483,195.1
31759,,D484,195.1
31760,,D485,195.1
31761,,D486,195.1
31762,,D487,195.1
31763,,D489,195.1
31764,,H40,365.0
31765,,H400,365.0
31766,,H401,365.0
31767,,H402,365.0
31768,,H403,365.0
31769,,H404,365.0
31770,,H405,365.0
31771,,H406,365.0
31772,,H408,365.0
31773,,H409,365.0
31774,,H42,365.0
31775,,H420,365.0
31776,,H428,365.0
31777,,M30,709.7
31778,,M300,709.7
31779,,M301,709.7
31780,,M302,709.7
31781,,M303,709.7
31782,,M308,709.7
31783,,M31,709.7
31784,,M310,709.7
31785,,M311,709.7
31786,,M312,709.7
31787,,M313,709.7
31788,,M314,709.7
31789,,M315,709.7
31790,,M316,709.7
31791,,M317,709.7
31792,,M318,709.7
31793,,M319,709.7
31794,,M32,709.7
31795,,M320,709.7
31796,,M321,709.7
31797,,M328,709.7
31798,,M329,709.7
31799,,M3290,709.7
31800,,M33,709.7
31801,,M330,709.7
31802,,M331,709.7
31803,,M332,709.7
31804,,M339,709.7
31805,,M34,709.7
31806,,M340,709.7
31807,,M341,709.7
31808,,M342,709.7
31809,,M348,709.7
31810,,M349,709.7
31811,,M35,709.7
31812,,M350,709.7
31813,,M351,709.7
31814,,M352,709.7
31815,,M353,709.7
31816,,M354,709.7
31817,,M355,709.7
31818,,M356,709.7
31819,,M357,709.7
31820,,M358,709.7
31821,,M359,709.7
31822,,M3599,709.7
31823,,M36,709.7
31824,,M360,709.7
31825,,M361,709.7
31826,,M362,709.7
31827,,M363,709.7
31828,,M364,709.7
31829,,M368,709.7
31830,,H43,379.2
31831,,H430,379.2
31832,,H431,379.2
31833,,H432,379.2
31834,,H433,379.2
31835,,H438,379.2
31836,,H439,379.2
31837,,H44,379.2
31838,,H440,379.2
31839,,H441,379.2
31840,,H442,379.2
31841,,H443,379.2
31842,,H444,379.2
31843,,H445,379.2
31844,,H446,379.2
31845,,H447,379.2
31846,,H448,379.2
31847,,H449,379.2
31848,,H45,379.2
31849,,H450,379.2
31850,,H451,379.2
31851,,H458,379.2
31852,,K00,569.0
31853,,K000,569.0
31854,,K001,569.0
31855,,K002,569.0
31856,,K003,569.0
31857,,K004,569.0
31858,,K005,569.0
31859,,K006,569.0
31860,,K007,569.0
31861,,K008,569.0
31862,,K009,569.0
31863,,K01,569.0
31864,,K010,569.0
31865,,K011,569.0
31866,,K02,569.0
31867,,K020,569.0
31868,,K021,569.0
31869,,K022,569.0
31870,,K023,569.0
31871,,K024,569.0
31872,,K025,569.0
31873,,K028,569.0
31874,,K029,569.0
31875,,K03,569.0
31876,,K030,569.0
31877,,K031,569.0
31878,,K032,569.0
31879,,K033,569.0
