,OMIM_ID,HPO_ID
622,103200,12378
623,103200,12532
624,103230,6
625,103230,846
626,103230,953
627,103230,1939
628,103230,12605
629,103285,6
630,103285,202
631,103285,509
632,103285,579
633,103285,668
634,103285,677
635,103285,691
636,103285,958
637,103285,963
638,103285,964
639,103285,968
640,103285,992
641,103285,1171
642,103285,1480
643,103285,1770
644,103285,1803
645,103285,1839
646,103285,2209
647,103285,2215
648,103285,2286
649,103285,2293
650,103285,2557
651,103285,2561
652,103285,3187
653,103285,4334
654,103285,6357
655,103285,6610
656,103285,7455
657,103300,6
658,103300,160
659,103300,171
660,103300,278
661,103300,286
662,103300,347
663,103300,1171
664,103300,3745
665,103300,9776
666,103300,12730
667,103400,6
668,103400,9775
669,103400,31009
670,103420,6
671,103420,522
672,103420,584
673,103420,613
674,103420,7732
675,103420,7820
676,103470,6
677,103470,407
678,103470,486
679,103470,505
680,103470,540
681,103470,613
682,103470,639
683,103470,1003
684,103470,1010
685,103470,1093
686,103470,1107
687,103470,1417
688,103470,1756
689,103470,5592
690,103470,7663
691,103470,7750
692,103500,6
693,103500,635
694,103500,2226
695,103500,2227
696,103500,7513
697,103500,7894
698,103500,8527
699,103500,8619
700,103580,6
701,103580,135
702,103580,293
703,103580,311
704,103580,470
705,103580,518
706,103580,639
707,103580,684
708,103580,821
709,103580,852
710,103580,939
711,103580,1156
712,103580,1249
713,103580,1250
714,103580,1513
715,103580,1831
716,103580,2135
717,103580,2684
718,103580,2905
719,103580,3165
720,103580,3456
721,103580,3472
722,103580,4322
723,103580,5280
724,103580,6297
725,103580,6960
726,103580,9381
727,103580,10049
728,103580,10743
729,103580,100543
730,103780,707
731,103780,30955
732,103900,6
733,103900,79
734,103900,822
735,103900,840
736,103900,859
737,103900,3351
738,103900,3674
739,103900,8221
740,103920,6
741,103920,2715
742,104000,1426
743,104000,1803
744,104000,2229
745,104000,2289
746,104000,2960
747,104000,7418
748,104000,30804
749,104100,6
750,104100,972
751,104100,982
752,104100,1000
753,104100,1596
754,104100,1820
755,104100,2164
756,104100,2299
757,104100,3593
758,104100,8391
759,104110,6
760,104110,2232
761,104130,6
762,104130,704
763,104130,1250
764,104130,1256
765,104130,2289
766,104130,5597
767,104200,6
768,104200,83
769,104200,93
770,104200,99
771,104200,100
772,104200,121
773,104200,407
774,104200,545
775,104200,790
776,104200,822
777,104200,1134
778,104200,1142
779,104200,2148
780,104200,2157
781,104200,3676
782,104200,3774
783,104200,4722
784,104200,30034
785,104290,6
786,104290,639
787,104290,1249
788,104290,1266
789,104290,1268
790,104290,1332
791,104290,2069
792,104290,12194
793,104290,200072
794,104300,6
795,104300,726
796,104300,1300
797,104300,1425
798,104300,2185
799,104300,2423
800,104300,2511
801,104300,410054
802,104310,6
803,104310,726
804,104310,1300
805,104310,2185
806,104310,2185
807,104310,2423
808,104310,2511
809,104310,3584
810,104350,6
811,104350,126
812,104350,218
813,104350,238
814,104350,286
815,104350,316
816,104350,369
817,104350,431
818,104350,494
819,104350,508
820,104350,767
821,104350,1159
822,104350,1374
823,104350,1537
